ville_nom,ville_code_postal,ville_population_2012,ville_longitude_deg,ville_latitude_deg
THONON-LES-BAINS,74200,32800,6.48333,46.3667
CHATILLON,92320,32500,2.28333,48.8
MAUBEUGE,59600,32400,3.96667,50.2833
CAMBRAI,59400,32300,3.23333,50.1667
LES MUREAUX,78130,32300,1.91667,49
LE PERREUX-SUR-MARNE,94170,32300,2.5,48.85
LIEVIN,62800,32000,2.76667,50.4167
CHATENAY-MALABRY,92290,31900,2.26667,48.7667
VIRY-CHATILLON,91170,31700,2.38333,48.6667
DREUX,28100,31200,1.36667,48.7333
VANDOEUVRE-LES-NANCY,54500,31100,6.18333,48.65
SCHILTIGHEIM,67300,31100,7.75,48.6
SAINT-LEU,97436,30966,0,0
HOUILLES,78800,30900,2.2,48.9167
MALAKOFF,92240,30900,2.3,48.8167
NOGENT-SUR-MARNE,94130,30900,2.48333,48.8333
PLAISIR,78370,30800,1.95,48.8167
VILLENEUVE-SAINT-GEORGES,94190,30800,2.45,48.7333
ATHIS-MONS,91200,30600,2.4,48.7167
GOUSSAINVILLE,95190,30600,2.46667,49.0167
ANNEMASSE,74100,30500,6.25,46.2
PALAISEAU,91120,30400,2.25,48.7167
POSSESSION,97419,30373,-20.9316,55.3354
SAINT-LAURENT-DU-VAR,6700,30300,7.18333,43.6667
BAIE-MAHAULT,97122,30251,16.2576,-61.5883
MONT-DE-MARSAN,40000,30200,-0.5,43.8833
SOTTEVILLE-LES-ROUEN,76300,30000,1.1,49.4167
SAINTE-MARIE,97438,29951,-20.8971,55.5499
VIENNE,38200,29900,4.86667,45.5167
CHATOU,78400,29900,2.15,48.8833
SAINT-CLOUD,92210,29800,2.21667,48.8417
PONTOISE,95300,29700,2.1,49.05
RILLIEUX-LA-PAPE,69140,29600,4.89833,45.8214
THIAIS,94320,29600,2.38333,48.7667
MEYZIEU,69330,29500,5.00333,45.7672
ORANGE,84100,29500,4.8,44.1333
L'HAY-LES-ROSES,94240,29500,2.33333,48.7833
LE CHESNAY,78150,29300,2.125,48.825
VALLAURIS,6220,29100,07.05,43.5833
PERIGUEUX,24000,29100,0.716667,45.1833
CLICHY-SOUS-BOIS,93390,29100,2.55,48.9167
CARPENTRAS,84200,29000,05.05,44.05
YERRES,91330,29000,2.5,48.7167
PIERREFITTE-SUR-SEINE,93380,28900,2.36667,48.9667
MENTON,6500,28800,7.5,43.7833
VILLENAVE-D'ORNON,33140,28800,-0.55,44.7667
DRAVEIL,91210,28700,2.41667,48.6833
AURILLAC,15000,28600,2.45,44.9167
GUYANCOURT,78280,28600,2.06667,48.7667
CHARENTON-LE-PONT,94220,28600,2.41667,48.8167
SOISSONS,2200,28500,3.33333,49.3667
TRAPPES,78190,28500,2,48.7833
VILLEMOMBLE,93250,28200,2.5,48.8833
MATOURY,97351,28110,4.84806,-52.3329
SAUMUR,49400,28100,-0.083333,47.2667
SAINT-ETIENNE-DU-ROUVRAY,76800,28100,1.1,49.3833
LAMBERSART,59130,28000,3.03333,50.65
BEZONS,95870,28000,2.21667,48.9333
SAVIGNY-LE-TEMPLE,77176,27800,2.58333,48.5667
BOIS-COLOMBES,92270,27800,2.26667,48.9167
ALENCON,61000,27700,0.083333,48.4333
CACHAN,94230,27700,2.33333,48.7833
ERMONT,95120,27700,2.26667,48.9833
BERGERAC,24100,27600,0.483333,44.85
VIERZON,18100,27500,2.08333,47.2167
VILLIERS-SUR-MARNE,94350,27500,2.55,48.8333
SAINT-MEDARD-EN-JALLES,33160,27400,-0.733333,44.9
ELANCOURT,78990,27300,1.95,48.7833
GRIGNY,91350,27200,2.38333,48.65
AIX-LES-BAINS,73100,27100,5.91667,45.7
RIS-ORANGIS,91000,27000,2.41667,48.65
VIGNEUX-SUR-SEINE,91270,27000,2.41667,48.7
VILLIERS-LE-BEL,95400,27000,2.38333,49
ILLKIRCH-GRAFFENSTADEN,67400,26700,7.71667,48.5333
LA GARENNE-COLOMBES,92250,26700,2.25,48.9
SAINTES,17100,26500,-0.633333,45.75
VANVES,92170,26500,2.3,48.8333
GONESSE,95500,26500,2.45,48.9833
KOUNGOU,97600,26488,45.2023,-12.7341
SAINT-DIZIER,52100,26400,4.95,48.6333
GOSIER,97190,26311,16.2063,-61.4948
BIARRITZ,64200,26300,-1.56667,43.4833
TAVERNY,95150,26300,2.21667,49.0333
LAON,2000,26200,3.61667,49.5667
MONTBELIARD,25200,26200,6.8,47.5167
LA GARDE,83130,26200,6.01056,43.1248
LE KREMLIN-BICETRE,94270,26100,2.36667,48.8167
SUCY-EN-BRIE,94880,26100,2.53333,48.7667
HERBLAY,95220,26000,2.16667,49
SENS,89100,25900,3.28389,48.1981
SANNOIS,95110,25900,2.25,48.9667
LE GRAND-QUEVILLY,76120,25800,1.03333,49.4167
RAMBOUILLET,78120,25800,1.83333,48.65
ROCHEFORT,17300,25700,-0.983333,45.9333
BETHUNE,62400,25700,2.63333,50.5333
OULLINS,69600,25700,4.8,45.7167
MIRAMAS,13140,25600,5,43.5833
TOURNEFEUILLE,31170,25600,1.35,43.5833
HENIN-BEAUMONT,62110,25600,2.93333,50.4167
BRUNOY,91800,25600,2.5,48.7
ROMAINVILLE,93230,25600,2.43333,48.8833
DOLE,39100,25400,5.5,47.1
CAVAILLON,84300,25400,5.03805,43.8375
VICHY,3200,25200,3.41667,46.1167
KOUROU,97310,25189,5.1683,-52.6456
VERNON,27200,25000,1.48333,49.0833
BEGLES,33130,25000,-0.533333,44.8
ARMENTIERES,59280,25000,2.88333,50.6833
FRESNES,94260,25000,2.31667,48.75
DECINES-CHARPIEU,69150,24800,4.96667,45.75
BOURGOIN-JALLIEU,38300,24700,5.27972,45.5917
SAINT-SEBASTIEN-SUR-LOIRE,44230,24700,-1.5,47.2167
LE PLESSIS-ROBINSON,92350,24700,2.26667,48.7833
VILLENEUVE-LA-GARENNE,92390,24700,2.33333,48.9333
EPERNAY,51200,24600,3.95,49.05
LES ULIS,91940,24600,2.1675,48.6823
RODEZ,12000,24500,2.56667,44.3333
MONTFERMEIL,93370,24500,2.56667,48.9
LA TESTE-DE-BUCH,33260,24400,-1.13704,44.6343
LUNEL,34400,24400,4.13333,43.6833
ORVAULT,44700,24400,-1.61667,47.2667
SAINTE-ANNE,97180,24192,16.2238,-61.3864
CHAMPS-SUR-MARNE,77420,24100,2.6,48.85
ABBEVILLE,80132,24100,1.83333,50.1
FONTENAY-AUX-ROSES,92260,24100,2.28333,48.7833
CHAUMONT,52000,24000,5.13333,48.1167
ROBERT,97231,23918,14.6753,-60.9414
VILLEPARISIS,77270,23900,2.61667,48.9333
EAUBONNE,95600,23800,2.28333,49
LIBOURNE,33500,23700,-0.233333,44.9167
BRUAY-LA-BUISSIERE,62700,23700,2.54778,50.4812
VILLENEUVE-SUR-LOT,47300,23600,0.716667,44.4
MURET,31600,23300,1.35,43.4667
GRADIGNAN,33170,23300,-0.616667,44.7667
LE BOUSCAT,33110,23200,-0.616667,44.8667
FRONTIGNAN,34110,23200,3.75,43.45
LE CREUSOT,71200,23200,4.43333,46.8
SAINT-OUEN-L'AUMONE,95310,23200,2.11667,49.05
PETIT-BOURG,97170,23199,16.1878,-61.5899
OYONNAX,1100,23100,5.66667,46.25
SEVRES,92310,23100,2.2,48.8167
MONTIGNY-LES-METZ,57158,22800,6.15,49.1
COUDEKERQUE-BRANCHE,59210,22800,2.4,51.0333
MONTGERON,91230,22700,2.45,48.7
MAISONS-LAFFITTE,78600,22600,2.15,48.95
CENON,33150,22500,-0.533333,44.85
AGDE,34300,22500,3.46667,43.3167
LANESTER,56600,22500,-3.35,47.75
BRETIGNY-SUR-ORGE,91220,22500,2.31667,48.6167
SAINT-MANDE,94160,22500,2.41667,48.8333
SAINTE-SUZANNE,97441,22421,0,0
CORMEILLES-EN-PARISIS,95240,22400,2.2,48.9833
MOULE,97160,22381,16.3339,-61.3472
MANOSQUE,4100,22300,5.78333,43.8333
HEROUVILLE-SAINT-CLAIR,14200,22300,-0.316667,49.2
BEAUNE,21200,22200,4.83333,47.0333
LA MADELEINE,59110,22200,3.06667,50.65
SAINTE-FOY-LES-LYON,69110,22200,4.8,45.7333
ROISSY-EN-BRIE,77680,22200,2.65,48.8
ETAMPES,91150,22200,2.15,48.4333
LES LILAS,93260,22200,2.43333,48.8833
LISIEUX,14100,22100,0.233333,49.15
FONTAINE,38600,22100,5.66667,45.1833
MONS-EN-BAROEUL,59370,22100,3.10778,50.642
SARREGUEMINES,57200,22000,07.05,49.1
MILLAU,12100,21900,3.08333,44.1
LE PETIT-QUEVILLY,76140,21900,1.03333,49.4333
TORCY,77200,21900,2.65,48.85
FORBACH,57600,21800,6.9,49.1833
AUCH,32810,21700,0.583333,43.65
HAZEBROUCK,59190,21700,2.53333,50.7167
SAINT-DIE-DES-VOSGES,88100,21700,6.95,48.2833
DEUIL-LA-BARRE,95170,21700,2.33333,48.9833
BLAGNAC,31700,21600,1.4,43.6333
VERTOU,44120,21400,-1.48333,47.1667
LOOS,59120,21400,3.01667,50.6167
LA VALETTE-DU-VAR,83160,21400,5.98333,43.1333
LONGJUMEAU,91160,21400,2.3,48.7
MONTMORENCY,95160,21400,2.33333,49
COMBS-LA-VILLE,77380,21300,2.56667,48.6667
MANDELIEU-LA-NAPOULE,6210,21200,6.93333,43.55
FLEURY-LES-AUBRAIS,45400,21200,1.91667,47.9333
GIF-SUR-YVETTE,91190,21200,2.13333,48.6833
GARDANNE,13120,21100,5.46667,43.45
BUSSY-SAINT-GEORGES,77600,21100,2.7,48.85
MORSANG-SUR-ORGE,91390,21100,2.35,48.6667
GRANDE-SYNTHE,59760,21000,2.28333,51.0167
LA CELLE-SAINT-CLOUD,78170,20900,2.15,48.85
ORLY,94310,20900,2.4,48.75
SHOELCHER,97233,20814,0,0
CROIX,59170,20800,3.15,50.6667
LE MEE-SUR-SEINE,77350,20800,2.63333,48.5333
LES PAVILLONS-SOUS-BOIS,93320,20700,2.51667,48.9
DAX,40100,20500,-1.05,43.7167
OZOIR-LA-FERRIERE,77330,20500,2.66667,48.7667
VOIRON,38500,20400,5.58333,45.3667
NEUILLY-PLAISANCE,93360,20300,2.51667,48.8667
SAINT-GRATIEN,95210,20300,2.28333,48.9667
LES PENNES-MIRABEAU,13170,20200,5.31667,43.4083
DENAIN,59220,20200,3.38333,50.3333
LAGNY-SUR-MARNE,77400,20200,2.71667,48.8667
SAINT-MICHEL-SUR-ORGE,91240,20200,2.3,48.6333
SAINTE-ROSE,97115,20155,16.3313,-61.6948
CONCARNEAU,29900,20100,-3.91667,47.8667
FOUGERES,35300,20100,-1.2,48.35
OLIVET,45160,20100,1.9,47.8667
LUNEVILLE,54300,20100,6.5,48.6
SAINT-GENIS-LAVAL,69230,20100,4.8,45.6833
DAMMARIE-LES-LYS,77190,20100,2.63445,48.5153
CAHORS,46000,20000,1.43333,44.4333
MONT-SAINT-AIGNAN,76130,20000,1.08333,49.4667
VELIZY-VILLACOUBLAY,78140,20000,2.18333,48.8
BOURG-LA-REINE,92340,20000,2.31667,48.775
LORMONT,33310,19900,-0.533333,44.8667
HALLUIN,59250,19900,3.13333,50.7833
SAINT-LOUIS,68128,19900,7.56667,47.5833
MOULINS,3000,19800,3.33333,46.5667
ANNECY-LE-VIEUX,74940,19800,6.15,45.9167
ARCUEIL,94110,19800,2.33333,48.8
MOUGINS,6250,19700,7,43.6
LANNION,22300,19700,-3.46667,48.7333
MONTCEAU-LES-MINES,71300,19700,4.36667,46.6667
ACHERES,78260,19700,2.06667,48.9667
NOGENT-SUR-OISE,60180,19600,2.46667,49.2667
SCEAUX,92330,19600,2.28333,48.7833
GIVORS,69700,19500,4.76667,45.5833
FECAMP,76400,19400,0.366667,49.75
CAPESTERRE-BELLE-EAU,97130,19321,16.0382,-61.5936
VERDUN,55100,19300,5.38278,49.1598
SELESTAT,67600,19300,7.45,48.2667
REMIRE-MONTJOLY,97354,19279,4.91396,-52.2738
FRANCOIS,97240,19218,14.6145,-60.9124
VENCE,6140,19200,7.11667,43.7167
SEDAN,8200,19200,4.95,49.7
COGNAC,16100,19100,-0.333333,45.7
SAINT-LO,50000,19100,-1.08333,49.1167
COURNON-D'AUVERGNE,63800,19100,3.21667,45.75
WASQUEHAL,59290,19000,3.15,50.6667
CHEVILLY-LARUE,94550,19000,2.35,48.7667
VILLEFONTAINE,38090,18900,5.15,45.6167
LE PUY-EN-VELAY,43000,18900,3.88583,45.0442
SAINT-JEAN-DE-BRAYE,45800,18900,1.96667,47.9
MANTES-LA-VILLE,78200,18900,1.71667,48.9667
L'ISLE-SUR-LA-SORGUE,84800,18900,05.05,43.9167
PERTUIS,84120,18900,5.5,43.6833
MONTIGNY-LES-CORMEILLES,95370,18900,2.18333,48.9833
MAUREPAS,78310,18800,1.91667,48.7667
LIMEIL-BREVANNES,94450,18800,2.48333,48.7333
ALLAUCH,13190,18700,5.48333,43.3333
EYSINES,33320,18700,-0.65,44.8833
PONTARLIER,25300,18600,6.36667,46.9
TASSIN-LA-DEMI-LUNE,69160,18600,4.78333,45.7667
BRESSUIRE,79300,18600,-0.483333,46.85
ROYAN,17200,18500,-1.03333,45.6333
